Sales Month,Primary Platform (Original),Secondary Platform,Store Name,Brand Name,Product Code,Sales Amount,Sales Quantity,Primary Platform
2021-01,天猫,天猫超市,茅台天猫超市,茅台,533161787579,201814825.0,32817,Tmall
2021-02,天猫,天猫超市,茅台天猫超市,茅台,533161787579,64894717.0,10827,Tmall
2021-03,天猫,天猫超市,茅台天猫超市,茅台,533161787579,5589172.0,920,Tmall
2021-01,天猫,天猫超市,茅台天猫超市,茅台,627347080760,40173068.0,8302,Tmall
2021-02,天猫,天猫超市,茅台天猫超市,茅台,627347080760,20663000.0,4246,Tmall
2021-03,天猫,天猫超市,茅台天猫超市,茅台,627347080760,686904.0,141,Tmall
2021-01,天猫,天猫超市,茅台天猫超市,茅台,610201548194,45762623.0,17608,Tmall
2021-02,天猫,天猫超市,茅台天猫超市,茅台,610201548194,7269698.0,2797,Tmall
2021-01,天猫,天猫超市,茅台天猫超市,茅台,609652081782,36143964.0,11672,Tmall
2021-02,天猫,天猫超市,茅台天猫超市,茅台,609652081782,10504130.0,3390,Tmall
2021-03,天猫,天猫超市,茅台天猫超市,茅台,609652081782,890209.0,287,Tmall
2021-03,天猫,天猫超市,茅台天猫超市,茅台,633583589962,21145544.0,4325,Tmall
2021-02,天猫,天猫超市,茅台天猫超市,茅台,633583589962,20773587.0,4384,Tmall
2021-01,天猫,天猫超市,茅台天猫超市,茅台,633583589962,50877.0,11,Tmall
2021-01,天猫,天猫超市,五粮液天猫超市,五粮液,600933518625,30460848.0,13989,Tmall
2021-02,天猫,天猫超市,五粮液天猫超市,五粮液,600933518625,4187756.0,1871,Tmall
2021-03,天猫,天猫超市,五粮液天猫超市,五粮液,600933518625,3157904.0,1358,Tmall
2021-01,天猫,天猫超市,茅台天猫超市,茅台,591239141090,30513147.0,6104,Tmall
2021-02,天猫,天猫超市,茅台天猫超市,茅台,591239141090,6595964.0,1319,Tmall
2021-01,天猫,天猫超市,茅台天猫超市,茅台,18817542665,35571320.0,34092,Tmall
2021-02,天猫,天猫超市,茅台天猫超市,茅台,18817542665,332897.0,333,Tmall
2021-01,天猫,天猫超市,郎酒天猫超市,郎酒,543748132678,13336577.0,10133,Tmall
2021-02,天猫,天猫超市,郎酒天猫超市,郎酒,543748132678,7582201.0,5777,Tmall
2021-03,天猫,天猫超市,郎酒天猫超市,郎酒,543748132678,2895585.0,2145,Tmall
2021-01,天猫,天猫超市,五粮液天猫超市,五粮液,596760623769,12836188.0,1967,Tmall
2021-02,天猫,天猫超市,五粮液天猫超市,五粮液,596760623769,9099457.0,1395,Tmall
2021-03,天猫,天猫超市,五粮液天猫超市,五粮液,596760623769,1643942.0,239,Tmall
2021-02,天猫,天猫超市,五粮液天猫超市,五粮液,599889638474,5789694.0,4147,Tmall
2021-03,天猫,天猫超市,五粮液天猫超市,五粮液,599889638474,3474953.0,2419,Tmall
2021-01,天猫,天猫超市,五粮液天猫超市,五粮液,599889638474,3038475.0,2433,Tmall
2021-01,天猫,天猫超市,泸州老窖天猫超市-久爱,泸州老窖,523166191917,5757965.0,12497,Tmall
2021-02,天猫,天猫超市,泸州老窖天猫超市-久爱,泸州老窖,523166191917,4402534.0,9742,Tmall
2021-03,天猫,天猫超市,泸州老窖天猫超市-久爱,泸州老窖,523166191917,988302.0,2130,Tmall
2021-02,天猫,天猫超市,洋河天猫超市,洋河,562434304478,5415095.0,5190,Tmall
2021-01,天猫,天猫超市,洋河天猫超市,洋河,562434304478,4831566.0,4564,Tmall
2021-03,天猫,天猫超市,洋河天猫超市,洋河,562434304478,374502.0,314,Tmall
2021-01,天猫,天猫超市,洋河天猫超市,洋河,570181580532,6140331.0,20710,Tmall
2021-02,天猫,天猫超市,洋河天猫超市,洋河,570181580532,2739339.0,8705,Tmall
2021-03,天猫,天猫超市,洋河天猫超市,洋河,570181580532,236822.0,763,Tmall
2021-02,天猫,天猫超市,洋河天猫超市,洋河,561332511575,5495436.0,6218,Tmall
2021-01,天猫,天猫超市,洋河天猫超市,洋河,561332511575,3199855.0,3496,Tmall
2021-03,天猫,天猫超市,洋河天猫超市,洋河,561332511575,243017.0,257,Tmall
2021-01,天猫,天猫超市,五粮液天猫超市,五粮液,596755623474,3671366.0,3341,Tmall
2021-02,天猫,天猫超市,五粮液天猫超市,五粮液,596755623474,2678640.0,2381,Tmall
2021-03,天猫,天猫超市,五粮液天猫超市,五粮液,596755623474,1685058.0,1417,Tmall
2021-01,天猫,天猫超市,汾酒天猫超市-久爱,汾酒,526173040234,4309894.0,7850,Tmall
2021-02,天猫,天猫超市,汾酒天猫超市-久爱,汾酒,526173040234,1664668.0,2968,Tmall
2021-03,天猫,天猫超市,汾酒天猫超市-久爱,汾酒,526173040234,1046361.0,1946,Tmall
2021-01,天猫,天猫超市,洋河天猫超市,洋河,562596978954,5667585.0,8306,Tmall
2021-02,天猫,天猫超市,洋河天猫超市,洋河,562596978954,1157637.0,1617,Tmall
2021-03,天猫,天猫超市,洋河天猫超市,洋河,562596978954,119983.0,158,Tmall
2021-01,天猫,天猫超市,洋河天猫超市,洋河,568769987529,3812502.0,5239,Tmall
2021-02,天猫,天猫超市,洋河天猫超市,洋河,568769987529,2919403.0,3852,Tmall
2021-03,天猫,天猫超市,洋河天猫超市,洋河,568769987529,59409.0,78,Tmall
2021-01,天猫,天猫超市,茅台天猫超市,茅台,619799972141,6717857.0,1792,Tmall
2021-01,天猫,天猫超市,剑南春天猫超市,剑南春,627895773753,5130379.0,5795,Tmall
2021-02,天猫,天猫超市,剑南春天猫超市,剑南春,627895773753,1424140.0,1589,Tmall
2021-03,天猫,天猫超市,剑南春天猫超市,剑南春,627895773753,114903.0,123,Tmall
2021-01,天猫,天猫超市,古井贡天猫超市,古井贡,36189070497,3343037.0,5546,Tmall
2021-02,天猫,天猫超市,古井贡天猫超市,古井贡,36189070497,2318395.0,3906,Tmall
2021-03,天猫,天猫超市,古井贡天猫超市,古井贡,36189070497,335064.0,577,Tmall
2021-01,天猫,天猫超市,茅台天猫超市,茅台,609390840832,5377286.0,1681,Tmall
2021-02,天猫,天猫超市,茅台天猫超市,茅台,609390840832,339183.0,106,Tmall
2021-01,天猫,天猫超市,五粮液天猫超市,五粮液,594000355160,3269343.0,9296,Tmall
2021-02,天猫,天猫超市,五粮液天猫超市,五粮液,594000355160,1801828.0,5062,Tmall
2021-03,天猫,天猫超市,五粮液天猫超市,五粮液,594000355160,428998.0,1332,Tmall
2021-03,天猫,天猫超市,茅台天猫超市,茅台,638984117889,5486942.0,781,Tmall
2021-01,天猫,天猫超市,剑南春天猫超市,剑南春,589077384454,4016715.0,5027,Tmall
2021-02,天猫,天猫超市,剑南春天猫超市,剑南春,589077384454,1207469.0,1511,Tmall
2021-03,天猫,天猫超市,剑南春天猫超市,剑南春,589077384454,195966.0,225,Tmall
2021-01,天猫,天猫超市,赖茅天猫超市,赖茅,530899370324,2163375.0,901,Tmall
2021-02,天猫,天猫超市,赖茅天猫超市,赖茅,530899370324,1640742.0,670,Tmall
2021-03,天猫,天猫超市,赖茅天猫超市,赖茅,530899370324,1566154.0,606,Tmall
2021-02,天猫,天猫超市,剑南春天猫超市,剑南春,532583189339,2167196.0,825,Tmall
